ID_Venda,ID_Produto,ID_Cliente,ID_Vendedor,Quantidade,Data_Venda
1,8,36,4,2,2018-01-01
2,2,23,1,10,2018-01-02
3,6,15,4,2,2018-01-03
4,3,39,2,3,2018-01-04
5,7,5,4,5,2018-01-05
6,1,31,3,1,2018-01-06
7,7,12,1,10,2018-01-07
8,8,42,1,9,2018-01-08
9,2,7,2,4,2018-01-09
10,8,8,4,3,2018-01-10
11,7,49,2,5,2018-01-11
12,1,7,5,9,2018-01-12
13,1,7,4,10,2018-01-13
14,2,3,1,1,2018-01-14
15,6,5,4,7,2018-01-15
16,10,10,1,7,2018-01-16
17,7,16,3,7,2018-01-17
18,4,21,2,4,2018-01-18
19,8,49,2,3,2018-01-19
20,8,4,5,3,2018-01-20
21,4,44,5,1,2018-01-21
22,10,24,4,9,2018-01-22
23,2,23,1,3,2018-01-23
24,7,41,3,3,2018-01-24
25,8,6,4,1,2018-01-25
26,8,10,3,10,2018-01-26
27,5,41,4,5,2018-01-27
28,7,17,3,2,2018-01-28
29,6,8,5,9,2018-01-29
30,3,15,4,5,2018-01-30
31,7,32,3,7,2018-01-31
32,5,29,1,3,2018-02-01
33,1,47,5,4,2018-02-02
34,4,28,3,1,2018-02-03
35,6,7,4,2,2018-02-04
36,9,31,2,3,2018-02-05
37,10,4,5,8,2018-02-06
38,9,16,5,9,2018-02-07
39,2,27,1,10,2018-02-08
40,1,19,2,6,2018-02-09
41,8,35,1,6,2018-02-10
42,1,44,2,10,2018-02-11
43,3,42,2,4,2018-02-12
44,8,23,2,4,2018-02-13
45,4,33,4,2,2018-02-14
46,9,9,3,2,2018-02-15
47,10,50,4,9,2018-02-16
48,3,23,4,4,2018-02-17
49,1,9,3,9,2018-02-18
50,3,20,3,1,2018-02-19
51,1,50,2,1,2018-02-20
52,4,30,5,7,2018-02-21
53,9,5,2,2,2018-02-22
54,7,28,3,1,2018-02-23
55,5,16,2,10,2018-02-24
56,1,32,3,7,2018-02-25
57,6,46,2,6,2018-02-26
58,1,30,4,8,2018-02-27
59,2,13,4,5,2018-02-28
60,9,35,3,6,2018-03-01
61,10,6,3,2,2018-03-02
62,6,29,5,10,2018-03-03
